num_threads,try_lock,lock
1,298,260
2,360,366
3,1165,922
4,941,932
5,1342,1213
6,1604,1239
7,1295,1417
8,1539,1629
9,1743,1835
10,1598,1460
11,2317,1616
12,10832,1721
13,2761,1736
14,1946,2178
15,11235,2024
16,2816,2708
17,2839,2326
18,3700,2814
19,2915,2410
20,3855,2491
21,3045,3910
22,4828,3408
23,3760,3765
24,4147,4240
25,9678,3355
26,4158,3752
27,4841,3708
28,4085,3828
29,3902,4275
30,4526,4299
31,5026,4195
32,6524,4702
33,26569,5420
34,5508,5175
35,21200,5077
36,5703,5548
37,6066,5812
38,4664,5449
39,19299,5855
40,4697,5990
41,5832,5507
42,6499,5804
43,5539,5376
44,13184,5435
45,44963,5928
46,7237,7957
47,7965,6358
48,16342,6797
49,16355,7041
50,6463,6811
